Text
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
Ets un tonto burro i rata
